"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|CZ","Without Sequence","84.07","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|CZ","Without Sequence","78.11","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|CZ","Without Sequence","68.82","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|CZ","Without Sequence","58.56","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|CZ","Without Sequence","47.61","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|CZ","Without Sequence","40.62","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|CZ","Without Sequence","17.77","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|CZ","Without Sequence","11.81","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|CZ","Without Sequence","10.64","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|CZ","Without Sequence","10.09","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|CZ","Without Sequence","9.76","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|CZ","Without Sequence","10.42","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|CZ","Without Sequence","11.72","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|CZ","Without Sequence","36.04","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|CZ","Without Sequence","43.58","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|CZ","Without Sequence","62.66","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|CZ","Without Sequence","65.47","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|CZ","Without Sequence","60.00","",""
